run_id,seed,n_generations_executed,total_cpu_time,convergence_generation,convergence_cpu_time,hv_final,gd,igd,gd_norm,igd_norm,final_front_size
1,43,600,772.5516030006111,600,773.8391890056121,607539332.44,578.1543180933895,949.3498460183242,0.06811442100943124,0.11252727202294543,8
2,44,600,536.8557513998821,600,537.7505109855487,591359068.2399999,1380.844489139744,1651.5183235931083,0.16338101104529013,0.19410699517309865,10
3,45,600,424.12813009973615,600,424.8350103165691,605175536.4400002,1042.8959552042465,1354.319143781228,0.12241392161686339,0.1582208085756343,8
4,46,600,353.6776206996292,600,354.26708340079523,564608031.84,1217.4678962086768,1232.591592295412,0.14297235269235734,0.14471226185101613,7
5,47,600,340.9255250003189,600,341.49373420865277,505892414.0400001,1798.5045670451757,1783.753144083118,0.21272350467973725,0.21099458543363736,8
6,48,600,332.8854809999466,600,333.4402901349465,587444845.44,1725.4240826919483,1587.8839717182218,0.20272274860391637,0.18672437106421064,11
7,49,600,346.87785090040416,600,347.45598065190484,608774814.2399999,517.3280861041444,678.5074166555345,0.0609386479848799,0.07974962385474126,13
8,50,600,347.9703897004947,600,348.55034034999557,600399145.8400002,923.6055213140554,1257.9270288867913,0.10874919487398726,0.14659183095250677,6
9,51,600,357.48801570013165,600,358.0838290596319,503696552.0400001,2020.6360567305464,1683.6037252607046,0.23812218901088153,0.19903295841280313,6
10,52,600,348.0034057004377,600,348.5834113766051,509027691.64000016,2898.9643247970407,1516.4310814526975,0.3379695410270041,0.1783375039482456,18
11,53,600,332.71534369979054,600,333.2698692726235,564383163.2400001,969.179728117835,980.1000608818791,0.11394985482660296,0.11508256197162423,11
12,54,600,358.74792500026524,600,359.34583820859905,588331158.2400001,1180.0472262438195,1460.8568167326716,0.13809467326826794,0.17189761484190766,6
13,55,600,332.6473455000669,600,333.201757742567,574477439.6400001,722.7164515036421,1061.199814075667,0.08544253584388853,0.12462786394696215,7
14,56,600,336.23343960009515,600,336.79382866609535,550671913.2400001,1764.106238251512,1477.1613300668284,0.20853759615795933,0.173581917941426,8
15,57,600,346.97809460014105,600,347.5563914244746,537314465.0400001,1599.2290914358223,1727.4668861571124,0.18711786030447433,0.2031564867950634,8
16,58,600,338.81266560032964,600,339.3773533763302,576720342.64,1302.1719365775682,966.0952746888549,0.1534271736663129,0.11421016757526992,13
17,59,600,346.14015750028193,600,346.7170577627824,578126572.44,1273.3893684794427,828.4188589200378,0.1501565868064924,0.09773610070350806,11
18,60,600,343.35883679986,600,343.93110152785977,595629706.64,1378.9127021172737,1437.167096110787,0.1620095496137904,0.16796167003049214,6
19,61,600,347.97351980023086,600,348.55347566656457,573437682.8400002,323.69401696464394,618.6158749639762,0.038271331048005466,0.07269723163121336,11
20,62,600,345.82020999956876,600,346.39657701623474,593728442.4400002,750.237328781082,711.5388623034755,0.0887680986953571,0.08418406463051457,8
21,63,600,341.67252539936453,600,342.24197960836347,549603905.8400002,1316.8687121285823,1493.6847131120533,0.15525328570987654,0.17623711018526714,7
22,64,600,336.24643400032073,600,336.8068447236546,532731748.64,1401.189986498788,1106.4596067095652,0.16538133561208906,0.12984870168313303,8
23,65,600,411.13166899979115,600,411.81688844812413,513764778.6400001,1414.8744381403324,1444.968118945027,0.16624184753945934,0.1700116016920276,11
24,66,600,397.56446500029415,600,398.2270724419613,546076373.6400001,1248.0824131703168,1345.5719090057655,0.14639982129699597,0.1577548853208167,6
25,67,600,346.30261509958655,600,346.8797861247525,554516526.84,660.7329281546752,1042.9447332591164,0.07767952404706435,0.1231873810351683,7
26,68,600,338.2542347004637,600,338.8179917582978,527938666.64,1184.4742005346727,995.8792678383054,0.13916303932205334,0.11809427626369591,9
27,69,600,347.90399789996445,600,348.4838378964644,577629687.4400002,1200.0855141236723,1494.3467818353643,0.14125852109983975,0.17617144379894695,8
28,70,600,421.30811419989914,600,422.01029439023233,495375775.84000015,1876.0241095577005,1380.967214759363,0.22192663241529956,0.16331909581641108,6
29,71,600,426.4212624002248,600,427.1319645042252,542512344.44,1695.2088329775445,1767.1082799150417,0.19987379789115678,0.20635086807734218,10
30,72,600,450.6320035001263,600,451.3830568392932,604592932.24,594.8915702552063,765.3261850814363,0.06969386936405397,0.08992676451287027,8
