,mean,std,median,min,max
total_cpu_time,380.27428775007525,87.19246902713546,347.44104625005275,332.6473455000669,772.5516030006111
convergence_generation,600.0,0.0,600.0,600.0,600.0
convergence_cpu_time,380.9080782296588,87.33778980884735,348.0201146604695,333.201757742567,773.8391890056121
hv_final,562049368.6266668,34486964.78335071,569022857.3400002,495375775.84000015,608774814.2399999
gd,1265.33140304477,534.7299788058533,1260.7358908248798,323.69401696464394,2898.9643247970407
igd,1260.0587653035825,346.04706925264276,1349.9455263934967,618.6158749639762,1783.753144083118
gd_norm,0.14889181556911296,0.06269256783933524,0.1482782040517442,0.038271331048005466,0.3379695410270041
igd_norm,0.14823453399141667,0.04063287113137807,0.15798784694822549,0.07269723163121336,0.21099458543363736
final_front_size,8.8,2.708861575363857,8.0,6.0,18.0
